Stock Name,Basic Industry,Sector,Company Name
JISLDVREQS,Construction Products Miscallaneous,Construction,Jain Irrigation Systems Limited
PANAMAPET,Petrochemicals,Chemicals,Panama Petrochem Limited
RUCHINFRA,Logistics,Services,Ruchi Infrastructure Limited
WEALTH,Finance & Investment,Financial Services,Wealth First Portfolio Managers Limited
SUBEXLTD,Software Services,Information Technology,Subex Limited
UNIVASTU,Civil Construction,Construction,Univastu India Limited
VALIANTORG,Chemicals Specialty,Chemicals,Valiant Organics Limited
TATACHEM,Chemicals Specialty,Chemicals,Tata Chemicals Limited
NAVKARCORP,Logistics,Services,Navkar Corporation Limited
WINDLAS,Pharmaceuticals,Healthcare,Windlas Biotech Limited
VARDHACRLC,Textiles,Textiles,Vardhman Acrylics Limited
SUNDRMBRAK,Auto Ancilaries,Auto,Sundaram Brake Linings Limited
UNIINFO,Other Telecom Services,Telecommunication,Uniinfo Telecom Services Limited
BAJAJHFL,Housing Finance,Financial Services,Bajaj Housing Finance Limited
TMPV,Auto Manufacturers,Auto,Tata Motors Passenger Vehicles Limited
DBSTOCKBRO,Investment Banking & Broking,Financial Services,DB (International) Stock Brokers Limited
BASF,Chemicals Specialty,Chemicals,BASF India Limited
HERANBA,Agro chemicals,Chemicals,Heranba Industries Limited
FINCABLES,Cables - Electricals,Capital Goods,Finolex Cables Limited
JAYAGROGN,Sugar,FMCG,Jayant Agro Organics Limited
LXCHEM,Chemicals-Basic,Chemicals,Laxmi Organic Industries Limited
ORIENTPPR,Paper & Paper Products,Forest Materials,Orient Paper & Industries Limited
JASH,Industrial Products & Manufacturing,Capital Goods,Jash Engineering Limited
ORIENTLTD,Packaging,Capital Goods,Orient Press Limited
PSB,PSU Banks,Financial Services,Punjab & Sind Bank
KEEPLEARN,Print Media,Media Entertainment & Publication,DSJ Keep Learning Limited
PNC,Film Production & Distribution,Media Entertainment & Publication,Pritish Nandy Communications Limited
SCHAND,Print Media,Media Entertainment & Publication,S Chand And Company Limited
THERMAX,Industrial Products & Manufacturing,Capital Goods,Thermax Limited
SRHHYPOLTD,Chemicals Specialty,Chemicals,Sree Rayalaseema Hi-Strength Hypo Limited
NECCLTD,Logistics,Services,North Eastern Carrying Corporation Limited
WONDERLA,Amusement Parks/ Other Recreation,Consumer Services,Wonderla Holidays Limited
GOENKA,Textiles,Textiles,Goenka Diamond and Jewels Limited
HAVISHA,Gas Distribution,"Oil, Gas & Consumable fuels",Sri Havisha Hospitality and Infrastructure Limited
QUINTEGRA,Software Services,Information Technology,Quintegra Solutions Limited
AWFIS,Diversified Commercial Services,Services,Awfis Space Solutions Limited
EBGNG,EMS,Capital Goods,GNG Electronics Limited
FAIRCHEMOR,Chemicals-Basic,Chemicals,Fairchem Organics Limited
CHAMBLFERT,Fertilizers,Chemicals,Chambal Fertilizers & Chemicals Limited
HARIOMPIPE,Iron & Steel,Metals & Mining,Hariom Pipe Industries Limited
DENORA,Electrical - Power Equipment,Capital Goods,De Nora India Limited
GULFPETRO,Lubricants,"Oil, Gas & Consumable fuels",GP Petroleums Limited
HEADSUP,Apparels,Textiles,Heads UP Ventures Limited
FELDVR,Textiles,Textiles,Future Enterprises Limited
BIRLANU,Construction Products Miscallaneous,Construction,BirlaNu Limited
OSWALGREEN,Real Estate,Realty,Oswal Greentech Limited
